epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,3652.84,0.47246,0.54861,1.10636,0.82662,0.64123,0.76997,0.68187,0.7499,1.05441,1.29044,0.0004753,0.0004753,0.0004753
55,3713.89,0.4818,0.55392,1.1173,0.85916,0.61603,0.75095,0.67989,0.75387,1.07706,1.28273,0.0004654,0.0004654,0.0004654
56,3775.15,0.47904,0.54729,1.10614,0.78164,0.65471,0.75428,0.66039,0.79522,1.06345,1.32215,0.0004555,0.0004555,0.0004555
57,3836.65,0.47115,0.53584,1.10458,0.80741,0.61031,0.74039,0.65255,0.79673,1.10244,1.32818,0.0004456,0.0004456,0.0004456
58,3898.27,0.47177,0.54561,1.10572,0.83721,0.63663,0.76205,0.68836,0.74773,1.04448,1.28185,0.0004357,0.0004357,0.0004357
59,3959.84,0.46959,0.53615,1.104,0.86567,0.65022,0.77623,0.70651,0.73086,1.01084,1.28008,0.0004258,0.0004258,0.0004258
60,4022.42,0.46814,0.5259,1.10371,0.68502,0.63907,0.69391,0.59366,0.82637,1.21829,1.35998,0.0004159,0.0004159,0.0004159
61,4083.81,0.47423,0.53849,1.11153,0.84802,0.63984,0.76941,0.69675,0.74273,1.02032,1.27272,0.000406,0.000406,0.000406
62,4144.86,0.46537,0.52938,1.10406,0.85652,0.63147,0.76928,0.6911,0.76792,1.04865,1.30177,0.0003961,0.0003961,0.0003961
63,4204.92,0.45002,0.50795,1.08694,0.88844,0.65711,0.7919,0.72123,0.76017,1.04125,1.27914,0.0003862,0.0003862,0.0003862
64,4265.22,0.45301,0.51491,1.0944,0.80059,0.61873,0.73153,0.63967,0.79722,1.12086,1.32138,0.0003763,0.0003763,0.0003763
65,4324.96,0.45359,0.51097,1.09085,0.85049,0.46652,0.66018,0.54639,0.91683,1.40016,1.43947,0.0003664,0.0003664,0.0003664
66,4385.41,0.46044,0.50976,1.09627,0.83212,0.66292,0.7766,0.67732,0.77926,1.07596,1.32277,0.0003565,0.0003565,0.0003565
67,4445.76,0.44773,0.50803,1.09186,0.8584,0.65046,0.77833,0.70645,0.76658,1.03026,1.31301,0.0003466,0.0003466,0.0003466
68,4505.61,0.44952,0.50456,1.08852,0.82556,0.62708,0.74871,0.65899,0.78317,1.13543,1.325,0.0003367,0.0003367,0.0003367
69,4565.47,0.44014,0.50429,1.07925,0.84796,0.65032,0.77137,0.69029,0.77167,1.09086,1.31538,0.0003268,0.0003268,0.0003268
70,4625.84,0.43509,0.48587,1.07797,0.80992,0.67897,0.77338,0.65952,0.76799,1.10862,1.32315,0.0003169,0.0003169,0.0003169
71,4686.4,0.44739,0.4908,1.08999,0.87918,0.62542,0.76975,0.69418,0.74197,1.08864,1.28134,0.000307,0.000307,0.000307
72,4746.4,0.4349,0.47844,1.07597,0.87272,0.62339,0.76694,0.69951,0.75525,1.13833,1.28581,0.0002971,0.0002971,0.0002971
73,4806.83,0.43789,0.47657,1.07929,0.87218,0.63718,0.77226,0.69077,0.73908,1.08024,1.28349,0.0002872,0.0002872,0.0002872
74,4867.27,0.43142,0.47216,1.07415,0.85654,0.64019,0.77045,0.69593,0.72336,1.08439,1.26805,0.0002773,0.0002773,0.0002773
75,4927.63,0.44174,0.4829,1.08465,0.88141,0.621,0.7744,0.70873,0.73257,1.06543,1.27187,0.0002674,0.0002674,0.0002674
76,4988.61,0.44485,0.47587,1.08458,0.80668,0.62309,0.74595,0.6634,0.77664,1.10715,1.30827,0.0002575,0.0002575,0.0002575
77,5051.81,0.43251,0.47338,1.07874,0.85823,0.59305,0.73836,0.66162,0.73994,1.10417,1.27159,0.0002476,0.0002476,0.0002476
78,5112.94,0.43337,0.46298,1.07156,0.85752,0.62937,0.76548,0.69769,0.74172,1.0996,1.27917,0.0002377,0.0002377,0.0002377
79,5173.17,0.42035,0.45386,1.06465,0.82049,0.6264,0.74629,0.67006,0.73757,1.09203,1.29502,0.0002278,0.0002278,0.0002278
