epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,4424.92,0.38107,0.57404,1.04675,0.83878,0.68546,0.77677,0.67272,0.59253,0.85293,1.14704,0.000561279,0.000561279,0.000561279
69,4486.49,0.37861,0.56785,1.04438,0.83768,0.67546,0.77336,0.66313,0.62179,0.89076,1.16302,0.000544776,0.000544776,0.000544776
70,4548.03,0.37235,0.54525,1.03647,0.83586,0.68637,0.77962,0.66156,0.59998,0.86051,1.15031,0.000528272,0.000528272,0.000528272
71,4609.42,0.37493,0.54501,1.0393,0.85683,0.64315,0.76277,0.64628,0.62,0.91419,1.17037,0.000511769,0.000511769,0.000511769
72,4670.8,0.37415,0.54335,1.04128,0.83294,0.65299,0.77155,0.66546,0.596,0.85718,1.15505,0.000495266,0.000495266,0.000495266
73,4732.19,0.37311,0.54044,1.04087,0.86505,0.67603,0.78035,0.66849,0.60325,0.87841,1.15753,0.000478762,0.000478762,0.000478762
74,4793.51,0.3648,0.5277,1.03275,0.84056,0.6976,0.78642,0.67541,0.57865,0.85331,1.12897,0.000462259,0.000462259,0.000462259
75,4854.99,0.37233,0.53327,1.03919,0.81976,0.6889,0.78445,0.67271,0.58122,0.8511,1.13618,0.000445756,0.000445756,0.000445756
76,4916.4,0.36809,0.51669,1.03494,0.84237,0.67935,0.77606,0.66009,0.61264,0.88647,1.16404,0.000429253,0.000429253,0.000429253
77,4979.49,0.3649,0.51078,1.03579,0.81775,0.7159,0.78519,0.67593,0.58814,0.87416,1.1354,0.000412749,0.000412749,0.000412749
78,5046.16,0.37061,0.51531,1.03151,0.87332,0.66465,0.77665,0.66933,0.58435,0.86356,1.12976,0.000396246,0.000396246,0.000396246
79,5112.72,0.35243,0.49642,1.02065,0.84921,0.65761,0.77493,0.66601,0.57821,0.89476,1.12387,0.000379743,0.000379743,0.000379743
80,5179.14,0.35216,0.50826,1.02757,0.8415,0.66439,0.78038,0.66847,0.59214,0.87364,1.14262,0.000363239,0.000363239,0.000363239
81,5240.89,0.34437,0.48159,1.01645,0.82801,0.66744,0.7728,0.66501,0.58569,0.90203,1.14464,0.000346736,0.000346736,0.000346736
82,5302.7,0.33856,0.48275,1.01133,0.86844,0.67897,0.78921,0.68171,0.58989,0.84319,1.14423,0.000330233,0.000330233,0.000330233
83,5370.15,0.3465,0.4736,1.01697,0.8676,0.6639,0.78144,0.67871,0.5813,0.87263,1.13773,0.000313729,0.000313729,0.000313729
84,5436.4,0.33913,0.47192,1.01107,0.87136,0.66309,0.783,0.67084,0.60673,0.89222,1.15517,0.000297226,0.000297226,0.000297226
85,5502.72,0.3399,0.46337,1.01592,0.86112,0.68721,0.78854,0.68531,0.5802,0.86739,1.12592,0.000280723,0.000280723,0.000280723
86,5569.04,0.33182,0.47283,1.01099,0.85075,0.67821,0.78843,0.67701,0.59011,0.85352,1.14652,0.00026422,0.00026422,0.00026422
87,5635.4,0.33461,0.45957,1.00919,0.88445,0.67096,0.77955,0.68049,0.58705,0.88754,1.14159,0.000247716,0.000247716,0.000247716
88,5702.35,0.33064,0.45408,1.01745,0.85729,0.66738,0.77444,0.67042,0.62182,0.89152,1.16027,0.000231213,0.000231213,0.000231213
89,5768.76,0.32348,0.44941,0.99645,0.88775,0.66748,0.78627,0.67836,0.6103,0.85849,1.15623,0.00021471,0.00021471,0.00021471
90,5835.58,0.32612,0.44339,0.9984,0.87023,0.66666,0.77744,0.67555,0.6011,0.90679,1.14883,0.000198206,0.000198206,0.000198206
91,5918.25,0.36574,0.47186,1.02564,0.83565,0.67851,0.76753,0.65136,0.64761,0.92274,1.20399,0.000181703,0.000181703,0.000181703
92,5984.47,0.34198,0.41661,1.01155,0.88636,0.65627,0.77064,0.663,0.61311,0.91433,1.1604,0.0001652,0.0001652,0.0001652
93,6050.36,0.33484,0.40257,1.0087,0.84552,0.69017,0.7788,0.67378,0.60134,0.89947,1.15141,0.000148696,0.000148696,0.000148696
94,6116.96,0.33238,0.39797,1.00773,0.82118,0.70752,0.77709,0.67366,0.59564,0.91583,1.14924,0.000132193,0.000132193,0.000132193
95,6182.93,0.33205,0.38679,1.00564,0.87689,0.66606,0.77648,0.6767,0.58638,0.91793,1.14122,0.00011569,0.00011569,0.00011569
96,6249.04,0.31722,0.36517,0.99301,0.88201,0.66792,0.77963,0.675,0.59459,0.92421,1.15018,9.91865e-05,9.91865e-05,9.91865e-05
97,6314.8,0.31766,0.3685,0.99342,0.86154,0.68113,0.77591,0.67246,0.59566,0.95751,1.15138,8.26832e-05,8.26832e-05,8.26832e-05
98,6379.16,0.32295,0.37114,0.9926,0.87101,0.68816,0.78103,0.67377,0.60105,0.93411,1.15085,6.61799e-05,6.61799e-05,6.61799e-05
99,6443.82,0.31478,0.35847,0.9897,0.8784,0.67468,0.77982,0.67587,0.59817,0.94006,1.15408,4.96766e-05,4.96766e-05,4.96766e-05
100,6508.79,0.30793,0.35028,0.99396,0.89181,0.66703,0.77852,0.67834,0.59582,0.94209,1.14837,3.31733e-05,3.31733e-05,3.31733e-05
